ra_1	dec_1	cz	ecz	u	g	r	i	zm	mur	mem	dist	gl	gb	foo	rf	gr	rp
194.62900	28.23363	007283	006	17.992	17.016	16.307	15.957	15.861		1	00.421	68.54007	88.08241				
195.07960	27.55373	005888	002	17.372	15.628	14.811	14.438	14.255		1	00.421	45.61515	87.98255				
195.10492	27.55227	007266	004	18.374	17.044	16.362	15.988	15.751		1	00.427	45.44749	87.96085				
194.51195	27.97836	006565	007	19.026	17.684	16.979	16.632	16.410		1	00.432	63.43708	88.30620				
194.61283	27.70663	007001	015	19.520	18.395	17.767	17.463	17.373		1	00.432	53.71977	88.33963				
195.48990	28.00584	007719	003	16.074	14.309	13.458	13.013	12.708		1	00.434	54.16145	87.50862				
194.74211	27.59472	006010	002	17.511	15.764	14.983	14.605	14.329		1	00.439	48.95162	88.26416				
195.21706	28.36612	007637	002	16.148	14.455	13.678	13.301	13.021		1	00.440	64.15660	87.57404				
194.63167	27.67351	006916	002	18.123	16.447	15.687	15.323	15.060		1	00.440	52.45233	88.33486				
195.40216	27.70795	007911	005	18.681	17.296	16.616	16.324	16.103		1	00.441	47.91949	87.66974				
194.55751	28.18255	007180	002	16.868	15.409	14.710	14.331	14.113		1	00.445	68.35332	88.16328				
195.45356	28.17196	007619	006	18.537	16.903	16.210	15.857	15.772		1	00.448	57.95822	87.47633				
194.50714	27.85357	005688	003	18.447	16.944	16.208	15.859	15.651		1	00.451	59.70322	88.36834				
195.30122	27.60449	007552	003	17.772	16.141	15.402	15.033	14.790		1	00.451	45.87797	87.77989				
195.43407	28.21437	007825	003	18.675	17.064	16.338	15.985	15.705		1	00.454	58.99619	87.47450				
194.51461	27.81492	007127	002	17.250	15.583	14.778	14.360	14.162		1	00.456	58.37284	88.37892				
195.41287	28.24589	007596	006	19.201	17.448	16.829	16.557	16.329		1	00.457	59.82460	87.47793				
194.49050	28.06179	008136	002	16.786	15.761	15.295	15.048	14.940		1	00.460	66.16336	88.27930				
195.11190	27.51560	007779	002	17.694	15.929	15.162	14.801	14.575		1	00.464	44.40241	87.96175				
195.28765	28.35980	006899	002	17.058	15.740	15.065	14.722	14.491		1	00.465	63.30898	87.52321				
195.00766	28.43482	008092	006	18.671	17.106	16.385	15.947	15.810		1	00.466	67.93607	87.69373				
194.62298	28.30123	005904	003	30.273	16.056	15.409	16.079	18.825		1	00.470	70.25843	88.04732				
194.85246	27.51734	005891	006	18.859	17.667	17.089	16.776	16.509		1	00.471	45.78164	88.18715				
195.18282	28.41634	006273	005	18.545	17.029	16.303	15.957	15.737		1	00.475	65.54016	87.57417				
195.08284	28.43923	007102	016	20.133	18.476	17.694	17.338	17.600		1	00.475	67.12874	87.63622				
