ra_1	dec_1	cz	ecz	zref	sigma	esigma	d4000	ra_2	dec_2	z	ez	u	g	r	i	zm	id1	id2	id3
227.693709	+05.114748	22936	26	T13	115	6	1.80	227.693720	5.114737	0.076564	0.000019	19.682	17.880	17.055	16.715	16.476	00	-1	-1
227.780144	+05.211710	23502	28	T13	138	8	1.93	227.780130	5.211713	0.078337	0.000023	19.812	17.960	17.116	16.711	16.421	00	-1	-1
227.811731	+05.184864	23595	4	SDSS	195	6	1.92	227.811710	5.184873	0.078707	0.000017	18.372	16.714	15.869	15.487	15.230	00	-1	-1
227.830975	+05.198540	24131	7	SDSS	74	7	1.78	227.830950	5.198550	0.080494	0.000025	20.038	18.166	17.329	17.027	16.705	00	-1	-1
227.940448	+05.184798	24198	5	SDSS	111	10	1.54	227.940450	5.184798	0.080719	0.000018	19.388	17.993	17.060	16.594	16.339	00	-1	-1
227.185648	+05.664321	23295	5	SDSS	117	6	1.83	227.185640	5.664330	0.077705	0.000019	20.053	17.939	17.105	16.709	16.406	00	-1	-1
228.347898	+05.557355	22660	6	SDSS	155	7	1.87	228.347870	5.557364	0.075588	0.000022	19.679	18.022	17.208	16.858	16.573	00	-1	-1
228.379769	+05.576823	23092	9	SDSS	140	11	1.71	228.379760	5.576826	0.077029	0.000032	19.650	18.482	17.691	17.308	17.061	00	-1	-1
227.218388	+06.156654	23228	4	SDSS	120	6	1.54	227.218380	6.156653	0.077485	0.000015	17.493	16.210	15.505	15.049	15.051	00	-1	-1
227.260307	+06.140397	23193	3	SDSS	125	4	1.62	227.260300	6.140400	0.077367	0.000012	18.699	17.229	16.497	16.124	15.911	00	-1	-1
228.308206	+05.971214	23148	21	T13	193	6	1.91	228.308210	5.971212	0.077225	0.000017	19.178	17.340	16.503	16.120	15.954	00	-1	-1
227.773013	+06.363684	24383	5	SDSS	236	7	2.00	227.773050	6.363687	0.081335	0.000019	19.346	17.343	16.401	15.979	15.670	00	-1	-1
227.817934	+06.398235	24728	4	SDSS	250	5	1.98	227.817960	6.398230	0.082487	0.000015	18.048	16.248	15.317	14.902	14.601	00	-1	-1
227.881065	+06.373836	24541	6	SDSS	199	6	2.06	227.881040	6.373837	0.081863	0.000020	19.907	18.045	17.123	16.723	16.383	00	-1	-1
227.955669	+06.365898	22973	5	SDSS	141	6	1.94	227.955680	6.365915	0.076630	0.000017	19.525	17.778	16.906	16.531	16.267	00	-1	-1
227.977357	+06.378248	23795	4	SDSS	77	9	1.57	227.977360	6.378257	0.079373	0.000015	18.982	17.691	16.968	16.602	16.378	00	-1	-1
228.000477	+06.343290	24021	27	T13	169	4	1.95	228.000470	6.343309	0.080316	0.000014	19.046	17.328	16.405	16.010	15.730	00	-1	-1
