#ra_1	dec_1	cz	ecz	zsource	ra_2	dec_2	u	g	r	i	zm	mur	gr	r50	rp	rf
#----	-----	--	---	-------	----	-----	-	-	-	-	--	---	--	---	--	--
259.832667	26.720261	0.26011	0.000186262	MMT/Hectospec	259.832654	26.720260	21.734	20.811	19.800	19.438	19.182	022.199	01.065	01.112	19.973	20.642
259.832925	26.534523	0.103352	5.67393e-05	MMT/Hectospec	259.832937	26.534522	22.442	20.848	20.014	19.776	19.724	022.654	00.881	01.248	20.178	20.710
259.834729	26.626431	0.317239	0.00010117	MMT/Hectospec	259.834735	26.626434	21.525	21.249	20.605	20.525	20.368	022.663	00.693	00.902	20.892	21.192
259.835217	26.648003	0.616647	9.39651e-05	MMT/Hectospec	259.835211	26.648002	22.242	21.446	20.321	19.701	19.396	022.912	01.175	01.200	20.521	21.127
259.835758	26.586018	0.163051	0.000134894	MMT/Hectospec	259.835769	26.586018	22.812	21.645	20.608	20.117	19.864	022.964	01.085	01.053	20.857	21.348
259.836046	26.526236	0.163317	6.92814e-05	MMT/Hectospec	259.836037	26.526236	20.534	19.164	18.186	17.662	17.366	021.482	01.025	01.639	18.414	19.392
259.837075	26.414547	0.424611	0.000141632	MMT/Hectospec	259.837065	26.414548	23.362	22.074	20.481	19.799	19.498	022.567	01.643	00.999	20.574	20.834
259.837188	26.419966	0.105222	6.55788e-05	MMT/Hectospec	259.837196	26.419966	21.070	19.707	19.030	18.627	18.369	021.821	00.727	01.356	19.165	19.891
259.837646	26.415064	0.424248	0.000136261	MMT/Hectospec	259.837658	26.415064	24.389	22.667	20.485	20.039	19.691	023.199	02.232	01.273	20.680	21.245
259.838017	26.633406	0.156941	0.00010524	MMT/Hectospec	259.838006	26.633406	22.026	20.109	18.981	18.530	18.169	021.599	01.177	01.229	19.156	19.816
259.838675	26.722750	0.425101	8.2257e-05	MMT/Hectospec	259.838680	26.722755	23.247	21.186	19.542	18.956	18.618	022.618	01.698	01.464	19.795	20.710
