RA	DEC	z	ez	zconf	ra	dec	u	g	r	i	zm	mur	gr	r50	rp	rf
3743.97837	46.9408683	0.223198	0.00011985	10.79	249.598586	46.940870	22.320	21.070	19.992	19.537	19.278	021.794	01.103	00.874	20.091	20.553
3744.01875	46.4893111	0.226906	0.000158443	11.38	249.601237	46.489308	22.345	20.405	18.959	18.387	17.977	021.902	01.466	01.572	18.925	19.890
3744.06081	46.78368	0.299876	0.000131024	12.00	249.604039	46.783684	22.018	21.385	19.902	19.367	18.958	021.740	01.505	00.884	20.013	20.459
3744.07838	46.6091003	0.304349	0.000115914	10.57	249.605220	46.609102	22.571	20.868	19.253	18.692	18.277	022.002	01.635	01.345	19.363	20.181
3744.25782	47.0350419	0.216616	0.000109342	15.19	249.617173	47.035036	22.064	20.296	19.004	18.481	18.131	021.504	01.318	01.227	19.065	19.820
3744.34788	46.4622003	0.226677	0.000143066	 9.02	249.623187	46.462192	21.068	19.541	18.240	17.690	17.327	022.697	01.322	02.730	18.521	20.037
3744.43719	46.7118492	0.136023	0.000103405	14.59	249.629122	46.711855	21.011	18.993	17.888	17.431	17.066	020.436	01.127	01.206	18.034	18.755
3744.62169	46.8824006	0.223023	0.000145501	10.35	249.641466	46.882400	22.625	20.631	19.441	18.908	18.548	021.384	01.213	00.941	19.521	20.055
3744.67962	46.8840408	0.223052	0.000109876	15.40	249.645308	46.884038	22.068	19.941	18.660	18.145	17.885	021.240	01.305	01.234	18.788	19.531
3744.87831	46.4521903	0.168046	0.000120283	12.31	249.658541	46.452190	21.208	19.257	18.127	17.628	17.302	020.920	01.151	01.365	18.249	19.087
3744.8931	46.61303	0.13513	0.00018	2MASX	249.659566	46.613031	18.417	16.500	15.410	14.976	14.654	020.560	01.110	03.903	15.608	17.456
3744.90706	46.5984383	0.226998	0.000179391	 8.97	249.660481	46.598445	23.617	21.351	19.979	19.441	18.995	021.801	01.392	00.905	20.023	20.500
3744.97319	46.7269517	0.392425	0.000131458	11.80	249.664887	46.726948	22.339	20.757	19.229	18.629	18.313	022.272	01.551	01.554	19.320	20.300
3744.9894	46.5535	0.11427	0.00015	SDSS	249.665971	46.553501	20.167	18.288	17.291	16.867	16.514	019.852	01.017	01.237	17.395	18.142
3745.09593	46.7766608	0.188782	0.000143499	10.96	249.673057	46.776661	22.360	21.146	19.892	19.462	19.083	021.244	01.277	00.712	19.987	20.329
3745.09894	46.7532997	0.361939	0.000116114	 9.84	249.673256	46.753298	21.367	20.580	19.528	19.264	19.017	022.418	01.075	01.436	19.637	20.529
3745.14144	46.8168717	0.225152	0.000105173	17.24	249.676073	46.816871	21.271	19.354	17.944	17.401	17.056	020.950	01.434	01.509	18.062	19.014
3745.147	46.85894	0.223865	0.000101304	17.26	249.676459	46.858941	22.105	19.928	18.560	18.078	17.724	021.213	01.392	01.264	18.709	19.497
3745.1919	46.91544	0.05867	0.00010	SDSS	249.679450	46.915440	18.858	17.907	17.270	16.994	16.980	022.760	00.661	04.565	17.468	19.709
3745.30619	46.4185792	0.372271	0.000199772	 6.26	249.687068	46.418580	21.418	21.126	19.835	19.269	19.005	022.725	01.311	01.374	20.040	20.867
3745.4232	46.86214	0.22475	0.00012	SDSS	249.694878	46.862135	20.392	18.683	17.398	16.914	16.595	021.232	01.309	02.134	17.591	18.904
3745.45381	47.0243606	0.261701	0.000137662	 9.32	249.696925	47.024357	22.774	20.342	19.098	18.486	17.928	022.147	01.269	01.477	19.305	20.219
3745.45857	46.4604683	0.371358	0.000124353	12.10	249.697233	46.460467	22.468	21.509	19.956	19.368	18.941	021.917	01.573	00.932	20.075	20.529
3745.48175	46.5401192	0.419772	0.000168383	 5.46	249.698803	46.540112	21.683	20.948	19.782	19.289	18.863	022.931	01.186	01.610	19.902	20.898
3745.55169	46.6776694	0.220793	0.00016845	 9.13	249.703455	46.677668	22.847	20.923	19.595	19.137	18.751	022.824	01.350	01.624	19.776	20.820
3745.56369	46.4441794	0.371624	0.000135227	10.51	249.704262	46.444181	24.739	21.748	19.895	19.342	18.904	022.314	01.873	01.163	19.991	20.671
